pol_id;cand_wp19;cand_titel;cand_firstname;cand_praefix;cand_lastname;cand_birth_year;cand_sex;cand_party;cand_fed_state;cand_ll_rank;cand_wk;wp_19_direct_result;cand_website;cand_blog;cand_facebook;cand_twitter;cand_instagram;cand_youtube;cand_googleplus;cand_other_links;wp_18;wp_18_exc;wp_19;wp_19_exc;fb_identifier;fb_type;fb_sample
1;0;;Jan;;van Aken;;1;DIE LINKE;Hamburg;;;;;;;;;;;;1;0;0;;726699177370143;page;1
2;1;;Stephan;;Albani;1968;1;CDU;Niedersachsen;6;27;;;;StephanAlbaniMdB;;;;;;1;0;1;0;StephanAlbaniMdB;page;1
3;1;;Katrin;;Albsteiger;;2;CSU;Bayern;29;;;;;;;;;;;1;0;0;;158046757668882;page;1
4;0;;Agnes;;Alpers;;2;DIE LINKE;Bremen;;;;;;;;;;;;1;1;0;;;no fb;0
5;1;;Peter;;Altmaier;1958;1;CDU;Saarland;1;297;38,00%;;;peter.altmaier;;;;;;1;0;1;0;peter.altmaier;page;1
6;1;;Luise;;Amtsberg;1984;2;GRÜNE;Schleswig-Holstein;1;5;;http://www.luise-amtsberg.de;;LuiseAmtsberg;;http://instagram.com/amtsbergluise;;;;1;0;1;0;LuiseAmtsberg;page;1
7;1;;Kerstin;;Andreae;1968;2;GRÜNE;Baden-Württemberg;1;281;;http://www.kerstin-andreae.de;;kerstin.andreae;https://twitter.com/KerstinAndreae;;;;;1;0;1;0;kerstin.andreae;page;1
8;1;;Niels;;Annen;1973;1;SPD;Hamburg;4;20;31,60%;http://www.nielsannen.de;;nielsannen;https://twitter.com/NielsAnnen;https://www.instagram.com/nielsannen/;;;;1;0;1;0;nielsannen;page;1
9;1;;Ingrid;;Arndt-Brauer;1961;2;SPD;Nordrhein-Westfalen;14;124;;;;;;;;;;1;0;1;0;;no fb;0
10;0;;Rainer;;Arnold;;1;SPD;Baden-Württemberg;;;;;;;;;;;;1;0;0;;99011323726;page;1
11;1;;Artur;;Auernhammer;1963;1;CSU;Bayern;38;241;44,30%;http://artur-auernhammer.de;;AuernhammerMdB;;;;;;1;0;1;0;AuernhammerMdB;page;1
12;1;;Heike;;Baehrens;1955;2;SPD;Baden-Württemberg;13;263;;;;baehrensmdb;;;;;;1;0;1;0;baehrensmdb;page;1
13;1;;Annalena;;Baerbock;1980;2;GRÜNE;Brandenburg;1;61;;http://www.annalena-baerbock.de;;abaerbock;https://twitter.com/abaerbock;;;;;1;0;1;0;abaerbock;page;1
14;1;;Ulrike;;Bahr;1964;2;SPD;Bayern;4;252;;;;;;;;;;1;0;1;0;488276387901037;page;1
15;1;;Bettina;;Bähr-Losse;;2;SPD;Nordrhein-Westfalen;42;98;;;;;;;;;;1;0;0;;245720595861963;page;1
16;1;;Dorothee;;Bär;1978;2;CSU;Bayern;3;248;51,10%;;;;;;;;;1;0;1;0;84588674291;page;1
17;0;;Heinz-Joachim;;Barchmann;;1;SPD;Niedersachsen;;;;;;;;;;;;1;0;0;;;no fb;0
18;1;;Thomas;;Bareiß;1975;1;CDU;Baden-Württemberg;;295;45,00%;;;;;;;;;1;0;1;0;152284468263590;page;1
19;1;Dr.;Katarina;;Barley;1968;2;SPD;Rheinland-Pfalz;3;203;;http://www.katarina-barley.de;;katarina.barley;;;;;;1;0;1;0;katarina.barley;page;1
20;1;;Doris;;Barnett;1953;2;SPD;Rheinland-Pfalz;5;207;;https://doris-barnett.de/;;barnett.spd;;;;;;1;0;1;0;barnett.spd;page;1
21;0;;Hans-Peter;;Bartels;;1;SPD;Schleswig-Holstein;;;;;;;;;;;;1;1;0;;;no fb;0
22;0;;Klaus;;Barthel;;1;SPD;Bayern;;;;;;;;;;;;1;0;0;;477034515645912;page;1
23;1;;Norbert;;Barthle;1952;1;CDU;Baden-Württemberg;;269;41,20%;;;;;;;;;1;0;1;0;432933006819508;page;1
24;1;Dr.;Matthias;;Bartke;1959;1;SPD;Hamburg;6;19;28,90%;http://www.matthias-bartke.de;;mbartke;https://twitter.com/matthiasbartke;;;;;1;0;1;0;mbartke;page;1
25;1;;Sören;;Bartol;1974;1;SPD;Hessen;5;171;35,70%;;;soerenbartol;;;;;;1;0;1;0;soerenbartol;page;1
26;1;Dr.;Dietmar Gerhard;;Bartsch;1958;1;DIE LINKE;Mecklenburg-Vorpommern;1;14;;;;;;;;;;1;0;1;0;135751919841485;page;1
27;1;;Bärbel;;Bas;1968;2;SPD;Nordrhein-Westfalen;32;115;38,30%;http://www.baerbelbas.de;;baerbel.bas;https://twitter.com/baerbelbas;https://www.instagram.com/baerbelbas/;https://www.youtube.com/user/baerbelbas/videos;;;1;0;1;0;baerbel.bas;page;1
28;0;;Sabine;;Bätzing-Lichtenthäler;;2;SPD;Rheinland-Pfalz;;;;;;;;;;;;1;1;0;;386107208164422;page;1
29;0;;Günter;;Baumann;;1;CDU;Sachsen;;;;;;;;;;;;1;0;0;;;no fb;0
30;0;;Marieluise;;Beck;;2;GRÜNE;Bremen;;;;;;;;;;;;1;0;0;;441587712561025;page;1
31;0;;Volker;;Beck;;1;GRÜNE;Nordrhein-Westfalen;;;;;;;;;;;;1;0;0;;46819172697;page;1
32;0;;Dirk;;Becker;;1;SPD;Nordrhein-Westfalen;;;;;;;;;;;;1;1;0;;;no fb;0
33;0;;Uwe;;Beckmeyer;;1;SPD;Bremen;;;;;;;;;;;;1;0;0;;;no fb;0
34;1;;Maik;;Beermann;1981;1;CDU;Niedersachsen;26;40;40,60%;;;;;;;;;1;0;1;0;377947178928550;page;1
35;1;;Herbert;;Behrens;;1;DIE LINKE;Niedersachsen;;34;;http://www.herbert-behrens.de;;herbertbehrensLINKE;;;;;;1;0;0;;herbertbehrensLINKE;private;0
36;1;;Manfred;;Behrens;1956;1;CDU;Sachsen-Anhalt;5;67;37,80%;;;manfred.behrens.5;;;;;;1;0;1;0;manfred.behrens.5;private;0
37;1;;Veronika;;Bellmann;1960;2;CDU;Sachsen;7;161;32,40%;;;;;;;;;1;0;1;0;304300113046740;private;0
38;1;;Sybille;;Benning;1961;2;CDU;Nordrhein-Westfalen;28;129;37,20%;;;;;;;;;1;0;1;0;464650286932127;page;1
39;1;Dr.;André;;Berghegger;1972;1;CDU;Niedersachsen;22;38;45,60%;;;;;;;;;1;0;1;0;315321281924550;page;1
40;0;;Christoph;;Bergner;;1;CDU;Sachsen-Anhalt;;;;;;;;;;;;1;0;0;;416435368432634;page;1
41;1;;Ute;;Bertram;;2;CDU;Niedersachsen;14;48;;;;;;;;;;1;0;0;;443632662398519;page;1
42;1;;Peter;;Beyer;1970;1;CDU;Nordrhein-Westfalen;50;105;39,30%;;;;;;;;;1;0;1;0;612601668757620;page;1
43;1;;Steffen;;Bilger;1979;1;CDU;Baden-Württemberg;6;265;38,30%;;;;;;;;;1;0;1;0;847387425402196;page;1
44;1;;Karin;;Binder;;2;DIE LINKE;Baden-Württemberg;;284;;http://www.karin-binder.de;;;;;;;;1;0;0;;111028329055457;page;1
45;1;;Lothar;;Binding;1950;1;SPD;Baden-Württemberg;4;274;;http://www.lothar-binding.de;;lothar.binding;https://twitter.com/lothar_binding;https://www.instagram.com/lothar_binding/;https://www.youtube.com/user/LotharBindingMdB;;;1;0;1;0;lothar.binding;page;1
46;0;;Clemens;;Binninger;;1;CDU;Baden-Württemberg;;;;;;;;;;;;1;0;0;;;no fb;0
47;1;;Matthias W.;;Birkwald;1961;1;DIE LINKE;Nordrhein-Westfalen;2;94;;http://www.matthias-w-birkwald.de;;wahlkreisbuero.matthias.w.birkwald;https://twitter.com/MWBirkwald;;;;;1;0;1;0;wahlkreisbuero.matthias.w.birkwald;page;1
48;1;;Peter;;Bleser;1952;1;CDU;Rheinland-Pfalz;2;200;44,10%;;;peter.bleser.1;;;;;;1;0;1;0;peter.bleser.1;private;0
49;1;;Burkhard;;Blienert;;1;SPD;Nordrhein-Westfalen;27;137;;;;;;;;;;1;0;0;;270984312986563;page;1
50;1;;Heidrun;;Bluhm;1958;2;DIE LINKE;Mecklenburg-Vorpommern;2;17;;;;;;;;;;1;0;1;0;157199237764392;page;1
51;0;;Maria;;Böhmer;;2;CDU;Rheinland-Pfalz;;;;;;;;;;;;1;0;0;;122103261195971;page;1
52;0;;Wolfgang;;Bosbach;;1;CDU;Nordrhein-Westfalen;;;;;;;;;;;;1;0;0;;;no fb;0
